Datestamp,BaccalaureateSes,OtherSes,BacPercent,OtherPercent
2020-12-09,230,3495,6.17,93.82
2020-12-08,270,3535,7.09,92.9
2020-12-07,227,3575,5.97,94.02
2020-12-06,124,1921,6.06,93.93
2020-12-05,88,1506,5.52,94.47
2020-12-04,171,2450,6.52,93.47
2020-12-03,222,3249,6.39,93.6
2020-12-02,254,3453,6.85,93.14
2020-12-01,136,1988,6.4,93.59
2020-11-30,101,1388,6.78,93.21
2020-11-29,70,1269,5.22,94.77
2020-11-28,47,1276,3.55,96.44
2020-11-27,156,2090,6.94,93.05
2020-11-26,238,2996,7.35,92.64
2020-11-25,219,3039,6.72,93.27
2020-11-24,246,3220,7.09,92.9
2020-11-23,235,3036,7.18,92.81
2020-11-22,111,1962,5.35,94.64
2020-11-21,75,1624,4.41,95.58
2020-11-20,133,2160,5.8,94.19
2020-11-19,238,2968,7.42,92.57
2020-11-18,220,2908,7.03,92.96
2020-11-17,238,3190,6.94,93.05
2020-11-16,210,3053,6.43,93.56
2020-11-15,101,2120,4.54,95.45
2020-11-14,77,1593,4.61,95.38
2020-11-13,125,2292,5.17,94.82
2020-11-12,189,2698,6.54,93.45
2020-11-11,214,2926,6.81,93.18
2020-11-10,181,2946,5.78,94.21
2020-11-09,212,2812,7.01,92.98
2020-11-08,69,1686,3.93,96.06
2020-11-07,82,1307,5.9,94.09
2020-11-06,130,1846,6.57,93.42
2020-11-05,153,2502,5.76,94.23
2020-11-04,183,2348,7.23,92.76
2020-11-03,171,2550,6.28,93.71
2020-11-02,206,2530,7.52,92.47
2020-11-01,98,1797,5.17,94.82
2020-10-31,74,1461,4.82,95.17
2020-10-30,154,1890,7.53,92.46
2020-10-29,201,2375,7.8,92.19
2020-10-28,178,2445,6.78,93.21
2020-10-27,194,2427,7.4,92.59
2020-10-26,189,2297,7.6,92.39
2020-10-25,118,1757,6.29,93.7
2020-10-24,93,1287,6.73,93.26
2020-10-23,117,1627,6.7,93.29
2020-10-22,194,2051,8.64,91.35
2020-10-21,157,2097,6.96,93.03
2020-10-20,182,2088,8.01,91.98
2020-10-19,160,2116,7.02,92.97
2020-10-18,118,1598,6.87,93.12
2020-10-17,102,1105,8.45,91.54
2020-10-16,93,1367,6.36,93.63
2020-10-15,143,1938,6.87,93.12
2020-10-14,127,1876,6.34,93.65
2020-10-13,184,1928,8.71,91.28
2020-10-12,187,1769,9.56,90.43
2020-10-11,99,1112,8.17,91.82
2020-10-10,86,899,8.73,91.26
2020-10-09,45,677,6.23,93.76
2020-10-08,170,1438,10.57,89.42
2020-10-07,200,1756,10.22,89.77
2020-10-06,177,1567,10.14,89.85
2020-10-05,132,1221,9.75,90.24
2020-10-04,96,841,10.24,89.75
2020-10-03,63,728,7.96,92.03
2020-10-02,113,915,10.99,89
2020-10-01,168,1278,11.61,88.38
2020-09-30,167,1402,10.64,89.35
