Datestamp,PageCategory,Sessions
2020-12-09,Baccalaureate Papers,230
2020-12-09,Other,3495
2020-12-08,Other,3535
2020-12-08,Baccalaureate Papers,270
2020-12-07,Other,3575
2020-12-07,Baccalaureate Papers,227
2020-12-06,Other,1921
2020-12-06,Baccalaureate Papers,124
2020-12-05,Other,1506
2020-12-05,Baccalaureate Papers,88
2020-12-04,Other,2450
2020-12-04,Baccalaureate Papers,171
2020-12-03,Other,3249
2020-12-03,Baccalaureate Papers,222
2020-12-02,Baccalaureate Papers,254
2020-12-02,Other,3453
2020-12-01,Other,1988
2020-12-01,Baccalaureate Papers,136
2020-11-30,Other,1388
2020-11-30,Baccalaureate Papers,101
2020-11-29,Other,1269
2020-11-29,Baccalaureate Papers,70
2020-11-28,Other,1276
2020-11-28,Baccalaureate Papers,47
2020-11-27,Other,2090
2020-11-27,Baccalaureate Papers,156
2020-11-26,Other,2996
2020-11-26,Baccalaureate Papers,238
2020-11-25,Other,3039
2020-11-25,Baccalaureate Papers,219
2020-11-24,Other,3220
2020-11-24,Baccalaureate Papers,246
2020-11-23,Other,3036
2020-11-23,Baccalaureate Papers,235
2020-11-22,Baccalaureate Papers,111
2020-11-22,Other,1962
2020-11-21,Baccalaureate Papers,75
2020-11-21,Other,1624
2020-11-20,Baccalaureate Papers,133
2020-11-20,Other,2160
2020-11-19,Other,2968
2020-11-19,Baccalaureate Papers,238
2020-11-18,Baccalaureate Papers,220
2020-11-18,Other,2908
2020-11-17,Baccalaureate Papers,238
2020-11-17,Other,3190
2020-11-16,Other,3053
2020-11-16,Baccalaureate Papers,210
2020-11-15,Baccalaureate Papers,101
2020-11-15,Other,2120
2020-11-14,Baccalaureate Papers,77
2020-11-14,Other,1593
2020-11-13,Baccalaureate Papers,125
2020-11-13,Other,2292
2020-11-12,Other,2698
2020-11-12,Baccalaureate Papers,189
2020-11-11,Baccalaureate Papers,214
2020-11-11,Other,2926
2020-11-10,Baccalaureate Papers,181
2020-11-10,Other,2946
2020-11-09,Other,2812
2020-11-09,Baccalaureate Papers,212
2020-11-08,Other,1686
2020-11-08,Baccalaureate Papers,69
2020-11-07,Baccalaureate Papers,82
2020-11-07,Other,1307
2020-11-06,Baccalaureate Papers,130
2020-11-06,Other,1846
2020-11-05,Baccalaureate Papers,153
2020-11-05,Other,2502
2020-11-04,Other,2348
2020-11-04,Baccalaureate Papers,183
2020-11-03,Baccalaureate Papers,171
2020-11-03,Other,2550
2020-11-02,Other,2530
2020-11-02,Baccalaureate Papers,206
2020-11-01,Other,1797
2020-11-01,Baccalaureate Papers,98
2020-10-31,Other,1461
2020-10-31,Baccalaureate Papers,74
2020-10-30,Baccalaureate Papers,154
2020-10-30,Other,1890
2020-10-29,Baccalaureate Papers,201
2020-10-29,Other,2375
2020-10-28,Other,2445
2020-10-28,Baccalaureate Papers,178
2020-10-27,Baccalaureate Papers,194
2020-10-27,Other,2427
2020-10-26,Other,2297
2020-10-26,Baccalaureate Papers,189
2020-10-25,Baccalaureate Papers,118
2020-10-25,Other,1757
2020-10-24,Baccalaureate Papers,93
2020-10-24,Other,1287
2020-10-23,Baccalaureate Papers,117
2020-10-23,Other,1627
2020-10-22,Baccalaureate Papers,194
2020-10-22,Other,2051
2020-10-21,Baccalaureate Papers,157
2020-10-21,Other,2097
2020-10-20,Baccalaureate Papers,182
2020-10-20,Other,2088
2020-10-19,Baccalaureate Papers,160
2020-10-19,Other,2116
2020-10-18,Baccalaureate Papers,118
2020-10-18,Other,1598
2020-10-17,Baccalaureate Papers,102
2020-10-17,Other,1105
2020-10-16,Baccalaureate Papers,93
2020-10-16,Other,1367
2020-10-15,Other,1938
2020-10-15,Baccalaureate Papers,143
2020-10-14,Baccalaureate Papers,127
2020-10-14,Other,1876
2020-10-13,Baccalaureate Papers,184
2020-10-13,Other,1928
2020-10-12,Other,1769
2020-10-12,Baccalaureate Papers,187
2020-10-11,Other,1112
2020-10-11,Baccalaureate Papers,99
2020-10-10,Other,899
2020-10-10,Baccalaureate Papers,86
2020-10-09,Other,677
2020-10-09,Baccalaureate Papers,45
2020-10-08,Baccalaureate Papers,170
2020-10-08,Other,1438
2020-10-07,Baccalaureate Papers,200
2020-10-07,Other,1756
2020-10-06,Other,1567
2020-10-06,Baccalaureate Papers,177
2020-10-05,Other,1221
2020-10-05,Baccalaureate Papers,132
2020-10-04,Baccalaureate Papers,96
2020-10-04,Other,841
2020-10-03,Baccalaureate Papers,63
2020-10-03,Other,728
2020-10-02,Other,915
2020-10-02,Baccalaureate Papers,113
2020-10-01,Baccalaureate Papers,168
2020-10-01,Other,1278
2020-09-30,Baccalaureate Papers,167
2020-09-30,Other,1402
2020-09-29,Baccalaureate Papers,189
2020-09-29,Other,1416
2020-09-28,Other,1413
2020-09-28,Baccalaureate Papers,205
2020-09-27,Baccalaureate Papers,131
2020-09-27,Other,880
2020-09-26,Other,712
2020-09-26,Baccalaureate Papers,84
2020-09-25,Baccalaureate Papers,133
2020-09-25,Other,833
2020-09-24,Baccalaureate Papers,129
