Region,Sessions,Pageviews
Bucharest,115429,202322
Iasi,38087,68468
Cluj,31281,51680
Timis,29594,51632
Prahova,22515,40364
Brasov,21566,39510
Suceava,19506,35205
Bacau,15387,27348
Dolj,15037,26757
Bihor,13182,25652
Gorj,13019,25527
Arges,14378,24154
Neamt,12782,23873
Maramures,11851,22054
Galati,12845,21478
Arad,10387,21074
Buzau,10039,20198
Constanta,12291,20145
Dambovita,7739,17318
Valcea,9170,17299
Sibiu,10042,16564
Bistrita-Nasaud,7722,16229
Vaslui,7610,15958
Alba,9173,15431
Botosani,8466,15318
Hunedoara,8235,15198
Mures,7935,14454
Satu Mare,6267,13009
Vrancea,5873,11574
Olt,5581,9268
Braila,4114,7468
Salaj,4204,7243
Mehedinti,3657,7094
Caras-Severin,3643,6531
Ilfov,2849,6409
Teleorman,3123,5457
Tulcea,2370,4923
Calarasi,2350,4222
Ialomita,2690,4202
Giurgiu,1321,2341
Harghita,1297,2191
Covasna,918,1571
